"#pciid","define","family","mobility","igp","nocrtc2","Nointtvout","singledac","name"
"0x3150","RV380_3150","RV380",1,,,,,"ATI Radeon Mobility X600 (M24) 3150 (PCIE)"
"0x3151","RV380_3151","RV380",,,,,,"ATI FireMV 2400 (PCI)"
"0x3152","RV380_3152","RV380",1,,,,,"ATI Radeon Mobility X300 (M24) 3152 (PCIE)"
"0x3154","RV380_3154","RV380",1,,,,,"ATI FireGL M24 GL 3154 (PCIE)"
"0x3155","RV380_3155","RV380",1,,,,,"ATI FireMV 2400 3155 (PCI)"
"0x3E50","RV380_3E50","RV380",,,,,,"ATI Radeon X600 (RV380) 3E50 (PCIE)"
"0x3E54","RV380_3E54","RV380",,,,,,"ATI FireGL V3200 (RV380) 3E54 (PCIE)"
"0x4136","RS100_4136","RS100",,1,,,1,"ATI Radeon IGP320 (A3) 4136"
"0x4137","RS200_4137","RS200",,1,,,1,"ATI Radeon IGP330/340/350 (A4) 4137"
"0x4144","R300_AD","R300",,,,,,"ATI Radeon 9500 AD (AGP)"
"0x4145","R300_AE","R300",,,,,,"ATI Radeon 9500 AE (AGP)"
"0x4146","R300_AF","R300",,,,,,"ATI Radeon 9600TX AF (AGP)"
"0x4147","R300_AG","R300",,,,,,"ATI FireGL Z1 AG (AGP)"
"0x4148","R350_AH","R350",,,,,,"ATI Radeon 9800SE AH (AGP)"
"0x4149","R350_AI","R350",,,,,,"ATI Radeon 9800 AI (AGP)"
"0x414A","R350_AJ","R350",,,,,,"ATI Radeon 9800 AJ (AGP)"
"0x414B","R350_AK","R350",,,,,,"ATI FireGL X2 AK (AGP)"
"0x4150","RV350_AP","RV350",,,,,,"ATI Radeon 9600 AP (AGP)"
"0x4151","RV350_AQ","RV350",,,,,,"ATI Radeon 9600SE AQ (AGP)"
"0x4152","RV360_AR","RV350",,,,,,"ATI Radeon 9600XT AR (AGP)"
"0x4153","RV350_AS","RV350",,,,,,"ATI Radeon 9600 AS (AGP)"
"0x4154","RV350_AT","RV350",,,,,,"ATI FireGL T2 AT (AGP)"
"0x4155","RV350_4155","RV350",,,,,,"ATI Radeon 9650"
"0x4156","RV350_AV","RV350",,,,,,"ATI FireGL RV360 AV (AGP)"
"0x4158","MACH32","MACH32",,,,,,
"0x4237","RS250_4237","RS200",,1,,,1,"ATI Radeon 7000 IGP (A4+) 4237"
"0x4242","R200_BB","R200",,,,1,,"ATI Radeon 8500 AIW BB (AGP)"
"0x4336","RS100_4336","RS100",1,1,,,1,"ATI Radeon IGP320M (U1) 4336"
"0x4337","RS200_4337","RS200",1,1,,,1,"ATI Radeon IGP330M/340M/350M (U2) 4337"
"0x4354","MACH64CT","MACH64",,,,,,
"0x4358","MACH64CX","MACH64",,,,,,
"0x4437","RS250_4437","RS200",1,1,,,1,"ATI Radeon Mobility 7000 IGP 4437"
"0x4554","MACH64ET","MACH64",,,,,,
"0x4742","MACH64GB","MACH64",,,,,,
"0x4744","MACH64GD","MACH64",,,,,,
"0x4749","MACH64GI","MACH64",,,,,,
"0x474C","MACH64GL","MACH64",,,,,,
"0x474D","MACH64GM","MACH64",,,,,,
"0x474E","MACH64GN","MACH64",,,,,,
"0x474F","MACH64GO","MACH64",,,,,,
"0x4750","MACH64GP","MACH64",,,,,,
"0x4751","MACH64GQ","MACH64",,,,,,
"0x4752","MACH64GR","MACH64",,,,,,
"0x4753","MACH64GS","MACH64",,,,,,
"0x4754","MACH64GT","MACH64",,,,,,
"0x4755","MACH64GU","MACH64",,,,,,
"0x4756","MACH64GV","MACH64",,,,,,
"0x4757","MACH64GW","MACH64",,,,,,
"0x4758","MACH64GX","MACH64",,,,,,
"0x4759","MACH64GY","MACH64",,,,,,
"0x475A","MACH64GZ","MACH64",,,,,,
"0x4966","RV250_If","RV250",,,,,,"ATI Radeon 9000/PRO If (AGP/PCI)"
"0x4967","RV250_Ig","RV250",,,,,,"ATI Radeon 9000 Ig (AGP/PCI)"
"0x4A48","R420_JH","R420",,,,,,"ATI Radeon X800 (R420) JH (AGP)"
"0x4A49","R420_JI","R420",,,,,,"ATI Radeon X800PRO (R420) JI (AGP)"
"0x4A4A","R420_JJ","R420",,,,,,"ATI Radeon X800SE (R420) JJ (AGP)"
"0x4A4B","R420_JK","R420",,,,,,"ATI Radeon X800 (R420) JK (AGP)"
"0x4A4C","R420_JL","R420",,,,,,"ATI Radeon X800 (R420) JL (AGP)"
"0x4A4D","R420_JM","R420",,,,,,"ATI FireGL X3 (R420) JM (AGP)"
"0x4A4E","R420_JN","R420",1,,,,,"ATI Radeon Mobility 9800 (M18) JN (AGP)"
"0x4A4F","R420_4A4F","R420",,,,,,"ATI Radeon X800 SE (R420) (AGP)"
"0x4A50","R420_JP","R420",,,,,,"ATI Radeon X800XT (R420) JP (AGP)"
"0x4A54","R420_JT","R420",,,,,,"ATI Radeon X800 VE (R420) JT (AGP)"
"0x4B48","R481_4B48","R420",,,,,,"ATI Radeon X850 (R480) (AGP)"
"0x4B49","R481_4B49","R420",,,,,,"ATI Radeon X850 XT (R480) (AGP)"
"0x4B4A","R481_4B4A","R420",,,,,,"ATI Radeon X850 SE (R480) (AGP)"
"0x4B4B","R481_4B4B","R420",,,,,,"ATI Radeon X850 PRO (R480) (AGP)"
"0x4B4C","R481_4B4C","R420",,,,,,"ATI Radeon X850 XT PE (R480) (AGP)"
"0x4C42","MACH64LB","MACH64",,,,,,
"0x4C44","MACH64LD","MACH64",,,,,,
"0x4C45","RAGE128LE","R128",,,,,,
"0x4C46","RAGE128LF","R128",,,,,,
"0x4C47","MACH64LG","MACH64",,,,,,
"0x4C49","MACH64LI","MACH64",,,,,,
"0x4C4D","MACH64LM","MACH64",,,,,,
"0x4C4E","MACH64LN","MACH64",,,,,,
"0x4C50","MACH64LP","MACH64",,,,,,
"0x4C51","MACH64LQ","MACH64",,,,,,
"0x4C52","MACH64LR","MACH64",,,,,,
"0x4C53","MACH64LS","MACH64",,,,,,
"0x4C57","RADEON_LW","RV200",1,,,,,"ATI Radeon Mobility M7 LW (AGP)"
"0x4C58","RADEON_LX","RV200",1,,,,,"ATI Mobility FireGL 7800 M7 LX (AGP)"
"0x4C59","RADEON_LY","RV100",1,,,,,"ATI Radeon Mobility M6 LY (AGP)"
"0x4C5A","RADEON_LZ","RV100",1,,,,,"ATI Radeon Mobility M6 LZ (AGP)"
"0x4C64","RV250_Ld","RV250",1,,,,,"ATI FireGL Mobility 9000 (M9) Ld (AGP)"
"0x4C66","RV250_Lf","RV250",1,,,,,"ATI Radeon Mobility 9000 (M9) Lf (AGP)"
"0x4C67","RV250_Lg","RV250",1,,,,,"ATI Radeon Mobility 9000 (M9) Lg (AGP)"
"0x4C6E","RV280_4C6E","RV280",1,,,,,"ATI FireMV 2400 PCI"
"0x4D46","RAGE128MF","R128",,,,,,
"0x4D4C","RAGE128ML","R128",,,,,,
"0x4E44","R300_ND","R300",,,,,,"ATI Radeon 9700 Pro ND (AGP)"
"0x4E45","R300_NE","R300",,,,,,"ATI Radeon 9700/9500Pro NE (AGP)"
"0x4E46","R300_NF","R300",,,,,,"ATI Radeon 9600TX NF (AGP)"
"0x4E47","R300_NG","R300",,,,,,"ATI FireGL X1 NG (AGP)"
"0x4E48","R350_NH","R350",,,,,,"ATI Radeon 9800PRO NH (AGP)"
"0x4E49","R350_NI","R350",,,,,,"ATI Radeon 9800 NI (AGP)"
"0x4E4A","R360_NJ","R350",,,,,,"ATI FireGL X2 NK (AGP)"
"0x4E4B","R350_NK","R350",,,,,,"ATI Radeon 9800XT NJ (AGP)"
"0x4E50","RV350_NP","RV350",1,,,,,"ATI Radeon Mobility 9600/9700 (M10/M11) NP (AGP)"
"0x4E51","RV350_NQ","RV350",1,,,,,"ATI Radeon Mobility 9600 (M10) NQ (AGP)"
"0x4E52","RV350_NR","RV350",1,,,,,"ATI Radeon Mobility 9600 (M11) NR (AGP)"
"0x4E53","RV350_NS","RV350",1,,,,,"ATI Radeon Mobility 9600 (M10) NS (AGP)"
"0x4E54","RV350_NT","RV350",1,,,,,"ATI FireGL Mobility T2 (M10) NT (AGP)"
"0x4E56","RV350_NV","RV350",1,,,,,"ATI FireGL Mobility T2e (M11) NV (AGP)"
"0x5041","RAGE128PA","R128",,,,,,
"0x5042","RAGE128PB","R128",,,,,,
"0x5043","RAGE128PC","R128",,,,,,
"0x5044","RAGE128PD","R128",,,,,,
"0x5045","RAGE128PE","R128",,,,,,
"0x5046","RAGE128PF","R128",,,,,,
"0x5047","RAGE128PG","R128",,,,,,
"0x5048","RAGE128PH","R128",,,,,,
"0x5049","RAGE128PI","R128",,,,,,
"0x504A","RAGE128PJ","R128",,,,,,
"0x504B","RAGE128PK","R128",,,,,,
"0x504C","RAGE128PL","R128",,,,,,
"0x504D","RAGE128PM","R128",,,,,,
"0x504E","RAGE128PN","R128",,,,,,
"0x504F","RAGE128PO","R128",,,,,,
"0x5050","RAGE128PP","R128",,,,,,
"0x5051","RAGE128PQ","R128",,,,,,
"0x5052","RAGE128PR","R128",,,,,,
"0x5053","RAGE128PS","R128",,,,,,
"0x5054","RAGE128PT","R128",,,,,,
"0x5055","RAGE128PU","R128",,,,,,
"0x5056","RAGE128PV","R128",,,,,,
"0x5057","RAGE128PW","R128",,,,,,
"0x5058","RAGE128PX","R128",,,,,,
"0x5144","RADEON_QD","RADEON",,,1,1,,"ATI Radeon QD (AGP)"
"0x5145","RADEON_QE","RADEON",,,1,1,,"ATI Radeon QE (AGP)"
"0x5146","RADEON_QF","RADEON",,,1,1,,"ATI Radeon QF (AGP)"
"0x5147","RADEON_QG","RADEON",,,1,1,,"ATI Radeon QG (AGP)"
"0x5148","R200_QH","R200",,,,1,,"ATI FireGL 8700/8800 QH (AGP)"
"0x514C","R200_QL","R200",,,,1,,"ATI Radeon 8500 QL (AGP)"
"0x514D","R200_QM","R200",,,,1,,"ATI Radeon 9100 QM (AGP)"
"0x5157","RV200_QW","RV200",,,,,,"ATI Radeon 7500 QW (AGP/PCI)"
"0x5158","RV200_QX","RV200",,,,,,"ATI Radeon 7500 QX (AGP/PCI)"
"0x5159","RV100_QY","RV100",,,,,,"ATI Radeon VE/7000 QY (AGP/PCI)"
"0x515A","RV100_QZ","RV100",,,,,,"ATI Radeon VE/7000 QZ (AGP/PCI)"
"0x515E","RN50_515E","RV100",,,1,,,"ATI ES1000 515E (PCI)"
"0x5245","RAGE128RE","R128",,,,,,
"0x5246","RAGE128RF","R128",,,,,,
"0x5247","RAGE128RG","R128",,,,,,
"0x524B","RAGE128RK","R128",,,,,,
"0x524C","RAGE128RL","R128",,,,,,
"0x5345","RAGE128SE","R128",,,,,,
"0x5346","RAGE128SF","R128",,,,,,
"0x5347","RAGE128SG","R128",,,,,,
"0x5348","RAGE128SH","R128",,,,,,
"0x534B","RAGE128SK","R128",,,,,,
"0x534C","RAGE128SL","R128",,,,,,
"0x534D","RAGE128SM","R128",,,,,,
"0x534E","RAGE128SN","R128",,,,,,
"0x5446","RAGE128TF","R128",,,,,,
"0x544C","RAGE128TL","R128",,,,,,
"0x5452","RAGE128TR","R128",,,,,,
"0x5453","RAGE128TS","R128",,,,,,
"0x5454","RAGE128TT","R128",,,,,,
"0x5455","RAGE128TU","R128",,,,,,
"0x5460","RV370_5460","RV380",1,,,,,"ATI Radeon Mobility X300 (M22) 5460 (PCIE)"
"0x5462","RV370_5462","RV380",1,,,,,"ATI Radeon Mobility X600 SE (M24C) 5462 (PCIE)"
"0x5464","RV370_5464","RV380",1,,,,,"ATI FireGL M22 GL 5464 (PCIE)"
"0x5548","R423_UH","R420",,,,,,"ATI Radeon X800 (R423) UH (PCIE)"
"0x5549","R423_UI","R420",,,,,,"ATI Radeon X800PRO (R423) UI (PCIE)"
"0x554A","R423_UJ","R420",,,,,,"ATI Radeon X800LE (R423) UJ (PCIE)"
"0x554B","R423_UK","R420",,,,,,"ATI Radeon X800SE (R423) UK (PCIE)"
"0x554C","R430_554C","R420",,,,,,"ATI Radeon X800 XTP (R430) (PCIE)"
"0x554D","R430_554D","R420",,,,,,"ATI Radeon X800 XL (R430) (PCIE)"
"0x554E","R430_554E","R420",,,,,,"ATI Radeon X800 SE (R430) (PCIE)"
"0x554F","R430_554F","R420",,,,,,"ATI Radeon X800 (R430) (PCIE)"
"0x5550","R423_5550","R420",,,,,,"ATI FireGL V7100 (R423) (PCIE)"
"0x5551","R423_UQ","R420",,,,,,"ATI FireGL V5100 (R423) UQ (PCIE)"
"0x5552","R423_UR","R420",,,,,,"ATI FireGL unknown (R423) UR (PCIE)"
"0x5554","R423_UT","R420",,,,,,"ATI FireGL unknown (R423) UT (PCIE)"
"0x564A","RV410_564A","RV410",1,,,,,"ATI Mobility FireGL V5000 (M26) (PCIE)"
"0x564B","RV410_564B","RV410",1,,,,,"ATI Mobility FireGL V5000 (M26) (PCIE)"
"0x564F","RV410_564F","RV410",1,,,,,"ATI Mobility Radeon X700 XL (M26) (PCIE)"
"0x5652","RV410_5652","RV410",1,,,,,"ATI Mobility Radeon X700 (M26) (PCIE)"
"0x5653","RV410_5653","RV410",1,,,,,"ATI Mobility Radeon X700 (M26) (PCIE)"
"0x5657","RV410_5657","RV410",,,,,,"ATI Radeon X550XTX 5657 (PCIE)"
"0x5654","MACH64VT","MACH64",,,,,,
"0x5655","MACH64VU","MACH64",,,,,,
"0x5656","MACH64VV","MACH64",,,,,,
"0x5834","RS300_5834","RS300",,1,,,1,"ATI Radeon 9100 IGP (A5) 5834"
"0x5835","RS300_5835","RS300",1,1,,,1,"ATI Radeon Mobility 9100 IGP (U3) 5835"
"0x5954","RS480_5954","RS480",,1,,,1,"ATI Radeon XPRESS 200 5954 (PCIE)"
"0x5955","RS480_5955","RS480",1,1,,,1,"ATI Radeon XPRESS 200M 5955 (PCIE)"
"0x5960","RV280_5960","RV280",,,,,,"ATI Radeon 9250 5960 (AGP)"
"0x5961","RV280_5961","RV280",,,,,,"ATI Radeon 9200 5961 (AGP)"
"0x5962","RV280_5962","RV280",,,,,,"ATI Radeon 9200 5962 (AGP)"
"0x5964","RV280_5964","RV280",,,,,,"ATI Radeon 9200SE 5964 (AGP)"
"0x5965","RV280_5965","RV280",,,,,,"ATI FireMV 2200 (PCI)"
"0x5969","RN50_5969","RV100",,,1,,,"ATI ES1000 5969 (PCI)"
"0x5974","RS482_5974","RS480",1,1,,,1,"ATI Radeon XPRESS 200 5974 (PCIE)"
"0x5975","RS485_5975","RS480",1,1,,,1,"ATI Radeon XPRESS 200M 5975 (PCIE)"
"0x5A41","RS400_5A41","RS400",,1,,,1,"ATI Radeon XPRESS 200 5A41 (PCIE)"
"0x5A42","RS400_5A42","RS400",1,1,,,1,"ATI Radeon XPRESS 200M 5A42 (PCIE)"
"0x5A61","RC410_5A61","RS400",,1,,,1,"ATI Radeon XPRESS 200 5A61 (PCIE)"
"0x5A62","RC410_5A62","RS400",1,1,,,1,"ATI Radeon XPRESS 200M 5A62 (PCIE)"
"0x5B60","RV370_5B60","RV380",,,,,,"ATI Radeon X300 (RV370) 5B60 (PCIE)"
"0x5B62","RV370_5B62","RV380",,,,,,"ATI Radeon X600 (RV370) 5B62 (PCIE)"
"0x5B63","RV370_5B63","RV380",,,,,,"ATI Radeon X550 (RV370) 5B63 (PCIE)"
"0x5B64","RV370_5B64","RV380",,,,,,"ATI FireGL V3100 (RV370) 5B64 (PCIE)"
"0x5B65","RV370_5B65","RV380",,,,,,"ATI FireMV 2200 PCIE (RV370) 5B65 (PCIE)"
"0x5C61","RV280_5C61","RV280",1,,,,,"ATI Radeon Mobility 9200 (M9+) 5C61 (AGP)"
"0x5C63","RV280_5C63","RV280",1,,,,,"ATI Radeon Mobility 9200 (M9+) 5C63 (AGP)"
"0x5D48","R430_5D48","R420",1,,,,,"ATI Mobility Radeon X800 XT (M28) (PCIE)"
"0x5D49","R430_5D49","R420",1,,,,,"ATI Mobility FireGL V5100 (M28) (PCIE)"
"0x5D4A","R430_5D4A","R420",1,,,,,"ATI Mobility Radeon X800 (M28) (PCIE)"
"0x5D4C","R480_5D4C","R420",,,,,,"ATI Radeon X850 5D4C (PCIE)"
"0x5D4D","R480_5D4D","R420",,,,,,"ATI Radeon X850 XT PE (R480) (PCIE)"
"0x5D4E","R480_5D4E","R420",,,,,,"ATI Radeon X850 SE (R480) (PCIE)"
"0x5D4F","R480_5D4F","R420",,,,,,"ATI Radeon X850 PRO (R480) (PCIE)"
"0x5D50","R480_5D50","R420",,,,,,"ATI unknown Radeon / FireGL (R480) 5D50 (PCIE)"
"0x5D52","R480_5D52","R420",,,,,,"ATI Radeon X850 XT (R480) (PCIE)"
"0x5D57","R423_5D57","R420",,,,,,"ATI Radeon X800XT (R423) 5D57 (PCIE)"
"0x5E48","RV410_5E48","RV410",,,,,,"ATI FireGL V5000 (RV410) (PCIE)"
"0x5E4A","RV410_5E4A","RV410",,,,,,"ATI Radeon X700 XT (RV410) (PCIE)"
"0x5E4B","RV410_5E4B","RV410",,,,,,"ATI Radeon X700 PRO (RV410) (PCIE)"
"0x5E4C","RV410_5E4C","RV410",,,,,,"ATI Radeon X700 SE (RV410) (PCIE)"
"0x5E4D","RV410_5E4D","RV410",,,,,,"ATI Radeon X700 (RV410) (PCIE)"
"0x5E4F","RV410_5E4F","RV410",,,,,,"ATI Radeon X700 SE (RV410) (PCIE)"
"0x7100","R520_7100","R520",,,,,,"ATI Radeon X1800"
"0x7101","R520_7101","R520",1,,,,,"ATI Mobility Radeon X1800 XT"
"0x7102","R520_7102","R520",1,,,,,"ATI Mobility Radeon X1800"
"0x7103","R520_7103","R520",1,,,,,"ATI Mobility FireGL V7200"
"0x7104","R520_7104","R520",,,,,,"ATI FireGL V7200"
"0x7105","R520_7105","R520",,,,,,"ATI FireGL V5300"
"0x7106","R520_7106","R520",1,,,,,"ATI Mobility FireGL V7100"
"0x7108","R520_7108","R520",,,,,,"ATI Radeon X1800"
"0x7109","R520_7109","R520",,,,,,"ATI Radeon X1800"
"0x710A","R520_710A","R520",,,,,,"ATI Radeon X1800"
"0x710B","R520_710B","R520",,,,,,"ATI Radeon X1800"
"0x710C","R520_710C","R520",,,,,,"ATI Radeon X1800"
"0x710E","R520_710E","R520",,,,,,"ATI FireGL V7300"
"0x710F","R520_710F","R520",,,,,,"ATI FireGL V7350"
"0x7140","RV515_7140","RV515",,,,,,"ATI Radeon X1600"
"0x7141","RV515_7141","RV515",,,,,,"ATI RV505"
"0x7142","RV515_7142","RV515",,,,,,"ATI Radeon X1300/X1550"
"0x7143","RV515_7143","RV515",,,,,,"ATI Radeon X1550"
"0x7144","RV515_7144","RV515",1,,,,,"ATI M54-GL"
"0x7145","RV515_7145","RV515",1,,,,,"ATI Mobility Radeon X1400"
"0x7146","RV515_7146","RV515",,,,,,"ATI Radeon X1300/X1550"
"0x7147","RV515_7147","RV515",,,,,,"ATI Radeon X1550 64-bit"
"0x7149","RV515_7149","RV515",1,,,,,"ATI Mobility Radeon X1300"
"0x714A","RV515_714A","RV515",1,,,,,"ATI Mobility Radeon X1300"
"0x714B","RV515_714B","RV515",1,,,,,"ATI Mobility Radeon X1300"
"0x714C","RV515_714C","RV515",1,,,,,"ATI Mobility Radeon X1300"
"0x714D","RV515_714D","RV515",,,,,,"ATI Radeon X1300"
"0x714E","RV515_714E","RV515",,,,,,"ATI Radeon X1300"
"0x714F","RV515_714F","RV515",,,,,,"ATI RV505"
